,corr_dist,corr_pearson,corr_reldist,corr_spearman,exp,mean_dist,mean_mindist,mean_pearson,mean_reldist,mean_slopedist,mean_slopedistT,mean_spearman
1183,1.2506062544,0.9358194354,0.8735391772000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1184,1.2506062544,0.9358194354,0.8736033295000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1185,1.2506062544,0.9358194354,0.8633408389,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1186,1.2506062544,0.9358194354,0.8709367828000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1187,1.2506062544,0.9358194354,0.8699845333,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1188,1.2506062544,0.9358194354,0.8694576681,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1189,1.2506062544,0.9358194354,0.8722155612,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
119,2.44438289,0.9269241426,0.0823094348,0.3828105634,biocon,3.197841274,-0.0431674713,0.8424229752,0.4938484589,-0.0431674713,0.6302721896,0.9494651324000001
1190,1.2506062544,0.9358194354,0.8604238214000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1191,1.2506062544,0.9358194354,0.8731543814,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1192,1.2506062544,0.9358194354,0.8666294854000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1193,1.2506062544,0.9358194354,0.871973706,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1194,1.2506062544,0.9358194354,0.8715117015,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1195,1.2506062544,0.9358194354,0.8627211768,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1196,1.2506062544,0.9358194354,0.8701007058,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1197,1.2506062544,0.9358194354,0.8663338434000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1198,1.2506062544,0.9358194354,0.8652721423,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1199,1.2506062544,0.9358194354,0.8722386315,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
12,1.7584873307,0.8823096811000001,0.2942459873,0.48368333430000005,biocon,0.512691264,0.4083428598,0.885331972,0.4503070422,0.6260374844000001,0.4083428598,0.20267769230000002
120,2.44438289,0.9269241426,0.11127692460000001,0.3828105634,biocon,3.197841274,0.3708157502,0.8424229752,0.3852907846,0.3708157502,0.5697161839,0.9494651324000001
1200,1.423452501,0.784751579,0.7131860317000001,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1201,1.423452501,0.784751579,0.7271685713,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1202,1.423452501,0.784751579,0.7064019993,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1203,1.423452501,0.784751579,0.7238608145000001,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1204,1.423452501,0.784751579,0.7038731595000001,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1205,1.423452501,0.784751579,0.7056565176,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1206,1.423452501,0.784751579,0.7172484856,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1207,1.423452501,0.784751579,0.7156923402,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1208,1.423452501,0.784751579,0.7127736570000001,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1209,1.423452501,0.784751579,0.7174815,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
121,2.44438289,0.9269241426,0.0968600701,0.3828105634,biocon,3.197841274,0.2870057558,0.8424229752,0.4699598558,0.6973466011,0.2870057558,0.9494651324000001
1210,1.423452501,0.784751579,0.7111494108,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1211,1.423452501,0.784751579,0.7103651120000001,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1212,1.423452501,0.784751579,0.7101893883,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
1213,1.423452501,0.784751579,0.7128846751,0.8050601116,simugaussS25,0.1111980956,0.8523057463,0.9466867703,0.8523057463,0.9328913165,0.8821207467000001,0.9868409495
