,replica,i,j,beta_ij,E[beta_ij],A[beta_ij]
122,2,1,4,0.3348237297527836,0.2957220525305474,0.35628798801392014
7119,127,1,0,0.3355063115096459,0.2958123530944183,0.15400805608411827
3967,70,6,5,0.3354719076142455,0.29584721044497425,0.4568886543390568
490,8,6,0,0.33571128487743457,0.2958583643205223,0.3585100826168711
7632,136,2,3,0.3357744674711755,0.29586457263568855,0.4395255132646087
2462,43,7,5,0.3357744674711755,0.2958740444916466,0.7318477247063456
3015,53,6,5,0.3357744674711755,0.2959179505335727,0.33983935674344495
5536,98,6,7,0.3357744674711755,0.29592140363478586,0.4485238641787215
7243,129,2,6,0.3360690310467185,0.29599142234310594,0.4821550699235735
8276,147,6,2,0.3362722979777974,0.29600184456343553,0.3923705472917126
1575,28,1,0,0.3364658384012893,0.29601125989647936,-0.009240839071655321
1858,33,1,4,0.3364061197728719,0.2960278346638901,0.2850215068129886
2460,43,7,3,0.3371867694340253,0.2960949000278571,0.43528807222984955
4921,87,7,0,0.3370958194362731,0.2961223050601605,0.5148888448768008
3328,59,3,4,0.3371456673111327,0.29615816634886133,0.44095428646770624
18,0,2,5,0.3371456673111327,0.29618431857881455,0.2843371306724747
8026,143,2,5,0.3371427393282253,0.29622253451609204,0.3896374510477008
5546,99,0,3,0.3371427393282253,0.2962375603564989,0.4214737928855615
7715,137,6,1,0.3371427393282253,0.2962842425556188,0.40689420260436
6538,116,6,0,0.3371427393282253,0.29632980563630595,0.3756219391949349
3343,59,5,4,0.3371427393282253,0.29634169225497065,0.33253569805778
4136,73,6,7,0.33764440123584644,0.29639520053094415,0.4044237052666576
6449,115,1,3,0.33764440123584644,0.29642025472459166,0.46203699758922206
2484,44,2,7,0.33756440206608096,0.2964381351173743,0.3573649146985426
213,3,6,3,0.337489568749877,0.2964462842196704,0.4287960555115395
5167,92,2,1,0.3376138347396327,0.29646368890358427,0.5171924042060488
8275,147,6,1,0.33748718130519717,0.2964748669238656,0.3923705472917126
4602,82,1,4,0.33721446768462665,0.2965422786773287,0.4805668500820225
4347,77,5,0,0.33733108173716647,0.2966065705486988,0.39503533675085256
2023,36,1,0,0.3374637727408551,0.2966228987086235,0.1866423356446112
1715,30,5,0,0.3374022666200684,0.2966563732002915,0.49198241846779883
6066,108,2,5,0.33731728071001854,0.2966594065506202,0.4081474793428546
1652,29,4,0,0.33731728071001854,0.2966647275949593,0.4041876472661513
4441,79,2,4,0.33731728071001854,0.29667797365486526,0.30402376263483993
4986,89,0,3,0.3372240951719093,0.2967207457874149,0.29404925776885443
2622,46,6,4,0.33754485437593834,0.2967509179903628,0.30274078344675626
6001,107,1,3,0.338036163469327,0.29680053794821454,0.2344195996939237
2429,43,3,0,0.3380409613621844,0.2968164870714248,0.46457811593250814
3536,63,1,2,0.3380014043057222,0.29684399737768924,0.16802478806658971
1901,33,7,4,0.3381180603254998,0.29687833460804,0.5419014692944983
7067,126,1,5,0.3381180603254998,0.2968980294406241,0.25304786579553074
290,5,1,4,0.33809330939791915,0.29692920324147776,0.4761828726475193
5705,101,7,0,0.33809330939791915,0.2969315225543449,0.3804085459830282
3307,59,0,4,0.33821994185967647,0.29695014219608934,-0.036036965552289205
8211,146,5,0,0.3383969959366759,0.29696841409157376,0.3362839146370532
8197,146,3,0,0.3384069038716203,0.29697848272787175,0.3295739702267348
2586,46,1,4,0.3383699884933,0.29698871504047913,0.2530262172664936
2443,43,5,0,0.3384082918495076,0.29701587724935896,0.443467605576569
7800,139,2,3,0.3384082918495076,0.29701917241522235,0.3725916984076381
186,3,2,5,0.33844387809577076,0.29702275481202023,0.31916554097443534
2304,41,1,2,0.33821590983184957,0.2970389547900944,0.32168422030964566
11,0,1,5,0.33815966378897466,0.297101052376148,0.20108570736554524
161,2,7,0,0.3389468815227927,0.29713980859163447,0.41695200382627046
1894,33,6,4,0.3389468815227927,0.2971462986434975,0.3332250932763245
1865,33,2,4,0.3394414471059777,0.2972018234270085,0.31921898791698344
1582,28,2,0,0.3395683515931506,0.2972368241522975,0.21808015035971706
4788,85,4,0,0.34045308897279813,0.29734155511065374,0.45047127044569163
6877,122,6,3,0.34055124220205646,0.29739743411981495,0.401480951101633
1701,30,3,0,0.34055124220205646,0.2974096553401723,0.4964960235651872
7940,141,6,2,0.34055124220205646,0.29741191269257977,0.25789450184855445
7126,127,2,0,0.3400773771424945,0.29746423091710233,0.3558788832375149
4606,82,2,0,0.34004524507730005,0.29747867880246764,0.49072731035469636
4940,88,1,6,0.3402134404240423,0.297482059537917,0.28395313269529737
6831,121,7,6,0.3411206255792406,0.2975521400632605,0.7051332635587343
129,2,2,4,0.3411206255792406,0.2975546823173979,0.5277168439617416
770,13,6,0,0.3412862857801363,0.29765390550901416,0.3034467087070895
5497,98,1,3,0.3415352221267658,0.2976687819434202,0.44632266000429544
297,5,2,4,0.34221771759874664,0.29771971083582593,0.39502567531912314
2492,44,4,0,0.34251030754420936,0.29778898975955376,0.3174267252442864
4699,83,7,2,0.34230251543655105,0.2978157524895947,0.4894266041978909
5672,101,2,3,0.34230251543655105,0.297818610686104,0.3022721748329507
3234,57,6,0,0.34230251543655105,0.297824739706201,0.45123386314554076
462,8,2,0,0.34230490564395316,0.29783159728398756,0.3650833225728429
1504,26,6,7,0.34230490564395316,0.2978329326481072,0.3128002486044696
3145,56,1,3,0.3423129881171076,0.297871802989594,0.007769112400062631
4829,86,1,7,0.34252250830412784,0.29790650886636894,0.4026897661370633
4893,87,3,0,0.34269396418381476,0.29795717446716047,0.35599551576315486
6432,114,6,7,0.34269396418381476,0.2979675427370363,0.3741239540253843
2593,46,2,4,0.34288317989026124,0.2979864277971016,0.3048606559708337
2479,44,2,1,0.34288317989026124,0.2979878047133865,0.3378776450136071
